SKU;Item Name;Brand;availability;SOH;Invoice Price ex GST;RRP Inc GST;Barcode;Shipping_Weight (Kg);Shipping_Length (Cm);Shipping_Width (Cm);Shipping_Height (Cm);Image_Link
P1020002;Makeblock Perception Gizmos Pack (mBot & mBot Ranger);Makeblock;in stock;32;59,65;89,99;6,93E+12;0;9,6;21,7;27;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1574821842/uploads/624cebf8/products/764/images/3L4A9875__E6_8B_B7_E8_B4_9D-800x800_1574821777.jpg
P1050016;Makeblock Mbot 4 Pack Education Kit;Makeblock;in stock;31;293,47;449,99;6,93E+12;0;0;0;0;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1579662587/uploads/624cebf8/products/1582/images/TOYMKB0223__1_1572819399_1579662587.jpg
P3090003;Makeblock mBot Li-Polymer Battery Pack;Makeblock;in stock;33;19,56;29,99;0;0;0;0;0;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1579490546/uploads/624cebf8/products/1594/images/P3090003_04_1574047482_1579490545.jpg
P1030089;Makeblock mTiny;Makeblock;in stock;1;169,56;259,99;6,93E+12;0;0;0;0;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1579661125/uploads/624cebf8/products/1641/images/IMG_017277_1579661048_1579661125.jpg
SN15;Marbotic Smart Numbers;Marbotic;in stock;58;45,65;69,99;3,77E+12;0;25,5;19;4,5;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1577924316/uploads/624cebf8/products/1211/images/SN15_1_1577924160_1577924240.jpg
SL15;Marbotic Smart Letters (Upper Case);Marbotic;in stock;51;65,21;99,99;3,77E+12;0;25,5;19;8;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1584611201/uploads/624cebf8/products/1212/images/SL15_1_1577922866_1584611201.jpg
SB16;Marbotic Smart Kit;Marbotic;in stock;25;97,82;149,99;3,77E+12;0;25,7;19;11,2;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1/uploads/624cebf8/products/1213/images/SB16_1.progressive.jpg
SLOW19;Marbotic Smart Letters (Lower Case);Marbotic;in stock;13;65,21;99,99;3,77E+12;0;0;0;0;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1597987481/uploads/624cebf8/products/1522/images/SLOW19_002_1570675296_1597987480.jpg
SSH19;Marbotic Smart Shapes;Marbotic;out of stock;0;45,65;69,99;8,53E+11;0;0;0;0;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1597987495/uploads/624cebf8/products/1524/images/SSH19_07_1577935541_1597987493.png
DLK18;Marbotic Deluxe Learning Kit;Marbotic;in stock;1;130,43;199,99;8,53E+11;0;0;0;0;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1597987513/uploads/624cebf8/products/1614/images/DLK18_04_1577935459_1597987512.jpg
99MO023127;Moshi Mini DisplayPort to HDMI Cable 4K;Moshi;out of stock;0;22,21;64,99;4,71E+12;0;2,1;5,7;17,8;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1/uploads/624cebf8/products/179/images/open-uri20180918-4448-rjmyuq.jpg
99MO084100;Moshi USB-C Charge Cable 2M (White);Moshi;in stock;7;20,5;59,99;4,71E+12;0;2;10,9;19,6;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1/uploads/624cebf8/products/202/images/open-uri20180918-4448-1wu222c.jpg
99MO084101;Moshi USB-C to USB-A 3.0 Cable (1 m);Moshi;in stock;25;13,67;39,99;4,71E+12;0;2;10,9;19,6;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1/uploads/624cebf8/products/203/images/open-uri20180918-4448-15o6wry.jpg
99MO084041;Moshi Integra USB-C Charge/Sync Cable with Lightning Connector (1.2 m) (Grey);Moshi;in stock;5;30,75;89,99;4,71E+12;0;0;0;0;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1/uploads/624cebf8/products/1227/images/99MO084041_1.jpg
99MO084105;Moshi Integra USB-C Charge/Sync Cable with Lightning Connector (1.2 m) (Silver);Moshi;in stock;4;30,75;89,99;4,71E+12;0;0;0;0;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1/uploads/624cebf8/products/1228/images/99MO084105_1.jpg
99MO023126;Moshi High Speed HDMI Cable 6.6ft (2M);Moshi;in stock;1;23,92;69,99;4,71E+12;0;17,6;11;2,1;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1/uploads/624cebf8/products/1300/images/01.jpg
99MO023128;Moshi Lightning to USB Cable with 90-Degree Connecter (White);Moshi;in stock;1;27,34;79,99;4,71E+12;0;17,6;10,9;2;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1/uploads/624cebf8/products/1301/images/1472730446_IMG_678780.jpg
99MO023253;Moshi Integra Lightning to USB-A Charge/Sync Cable (Rose);Moshi;in stock;3;27,34;79,99;4,71E+12;0;0;0;0;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1/uploads/624cebf8/products/1304/images/99MO023253_1.jpg
99MO023321;Moshi Integra Lightning to USB-A Charge/Sync Cable (Red);Moshi;in stock;4;27,34;79,99;4,71E+12;0;0;0;0;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1/uploads/624cebf8/products/1305/images/01.jpg
99MO084031;Moshi USB-C Monitor Cable;Moshi;in stock;1;41,01;119,99;4,71E+12;0;17,6;10,9;2;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1/uploads/624cebf8/products/1306/images/99MO084031_1.progressive.jpg
99MO084044;Moshi Integra USB-C to USB-A Charge Cable (0.25M);Moshi;out of stock;0;27,34;79,99;4,71E+12;0;0,25;0;0;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1/uploads/624cebf8/products/1307/images/01.jpg
99MO084211;Moshi Integra USB-C to USB-A Charge/Sync Cable (Grey);Moshi;in stock;3;27,34;79,99;4,71E+12;0;0;0;0;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1/uploads/624cebf8/products/1309/images/01.jpg
